"Variable","Topic_Number","Subtopic","Subtopic_Number","EditFlag","Description","Instrument_Variable_Name","Imputation_Strategy","table_name","Availability","Survey Year","Topic","Updated Universe","Disclosure","User Notes","Question","Variable_Number","TYPE","Present_in_Survey_Years","Associated Response Codes"
"CONTROL","1","Interview Status","1","NA","Control number","NA","Coming soon","ALL","PUF","2017;2015;2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Admin","INTSTATUS in ('1' '2' '3')","None","CONTROL is sequentially assigned each survey year. Beginning with 2015, the first three digits are 110 for National sample records, and 210 for Metropolitan sample records. The last five digits are sequentially numbered beginning with 00001. CONTROL can be used to link records across datasets and between survey years.","NA",1,"Character","2017;2015;2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","10000001 : 21099999: 10000001 to 21099999"
"INTSTATUS","1","Interview Status","1","NA","Interview status","NA","Coming soon","HOUSEHOLD","PUF","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","None","Interview status is determined using information provided by the Field Representative.","NA",2,"Character","2017;2015","1: Occupied interview||2: URE (Usual Residence Elsewhere) interview||3: Vacant interview"
"INTMONTH","1","Interview Status","1","NA","Interview month","NA","Coming soon","HOUSEHOLD","PUF","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","None","Interview month is determined using the instrument (laptop) date stamp for the interview. If the respondent was interviewed in more than one month (for example, a follow-up visit was needed to complete the interview), INTMONTH reflects the last contact.","NA",3,"Character","2017;2015","1: January||2: February||3: March||4: April||5: May||6: June||7: July||8: August||9: September||10: October||11: November||12: December"
"INTLANG","1","Interview Status","1","NA","Interview language","LANG","Coming soon","HOUSEHOLD","PUF","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","None","This question is not asked of the respondent. The Field Representative provided the language information as the interview was being completed. This information is recorded for all Occupied, Vacant, and URE interviews.","In what language was the interview conducted?",4,"Character","2017;2015","01: English||02: Spanish||10: Other||M or -9: Not reported"
"INTMODE","1","Interview Status","1","NA","Interview mode","NA","Coming soon","HOUSEHOLD","PUF","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","None","Interview mode is determined using information provided by the Field Representative.","NA",5,"Character","2017;2015","1: Telephone interview||2: Personal visit||M or -9: Not reported"
"STATUS","1","Interview Status","1","NA","Interview status",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Admin",,,,,6,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Occupied interview||2: URE (Usual Residence Elsewhere) interview||3: Vacant interview||4: Noninterview"
"DATE","1","Interview Status","1","JDATE","Interview date",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Admin",,,,,7,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","01011997:Present: January 1, 1997 - Present"
"LANG","1","Interview Status","1","NA","Language of interview",,"Coming Soon","NEWHOUSE","PUF","2013;2011;2009","Admin",,,"Marked for all Occupied, Vacant, and URE interviews.","In what language was the interview conducted?",8,"Character","2013;2011;2009","1: English||2: Spanish||3: Other||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"PERSINT","1","Interview Status","1","NA","Personal/telephone interview",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Admin",,,,,9,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Personal visit||2: Telephone interview"
"CONTROLM","1","Interview Status","1","NA","Original control number",,"Coming Soon","TYPEC","PUF","2013;2011","Admin",,,"This variable can be used to link returning metropolitan cases to prior years.","This is the original scrambled control number from the masterfile from the year the case was first introduced. It is used to preserve confidentiality and to enable longitudinal matches to earlier files.",10,"Character","2013;2011",
